Country,Region,Date,Gender,Population_Density,Health_Expenditure_Govt,Health_Expenditure_Pvt,Health_Expenditure_Indv,Life_Expectancy,Education_Expenditure,Mean_years_in_school,Average_Income,Employment_Rate,Income_Inequality,Child_Mortality_Rate,Adult_Mortality_Rate,Suicides,Murders
"Micronesia, Fed. Sts.",OCEANIA                            ,2005,Female,152.0,93.8,6.15,4.94,68.6,23.6,12.4,522.0,0.0,42.4,408.0,0.0,17.8,6.41
Moldova,C.W. OF IND. STATES ,2005,Female,127.0,48.5,51.5,42.8,71.7,5.71,11.9,622.0,0.0,43.4,386.0,0.0,871.0,387.0
Monaco,WESTERN EUROPE                     ,2005,Female,22700.0,87.1,12.9,5.82,0.0,1.17,0.0,1990.0,0.0,40.0,9.7,0.0,0.0,0.0
Mongolia,ASIA (EX. NEAR EAST)         ,2005,Female,1.63,81.9,18.1,32.4,69.1,4.16,9.33,593.0,0.0,32.0,420.0,0.0,598.0,316.0
Morocco,NORTHERN AFRICA                    ,2005,Female,68.4,29.4,70.6,59.3,72.9,6.98,4.74,716.0,0.0,55.4,403.0,0.0,1680.0,373.0
Mozambique,SUB-SAHARAN AFRICA                 ,2005,Female,26.6,72.4,27.6,9.41,53.0,4.26,3.71,394.0,0.0,52.1,440.0,0.0,1320.0,1400.0
Namibia,SUB-SAHARAN AFRICA                 ,2005,Female,2.47,68.9,31.1,4.0,55.3,7.24,8.3,541.0,0.0,51.4,412.0,0.0,243.0,388.0
Nauru,OCEANIA                            ,2005,Female,506.0,81.5,18.5,4.43,0.0,0.0,0.0,555.0,0.0,40.0,71.1,0.0,0.0,0.0
Nepal,ASIA (EX. NEAR EAST)         ,2005,Female,179.0,21.7,78.3,49.2,66.8,2.8,4.52,655.0,0.0,25.8,407.0,0.0,2970.0,615.0
Netherlands,WESTERN EUROPE                     ,2005,Female,485.0,63.1,36.9,10.6,81.5,4.54,12.7,2980.0,0.0,51.9,324.0,0.0,1890.0,194.0
New Zealand,OCEANIA                            ,2005,Female,15.7,78.0,22.0,14.1,81.8,6.62,13.7,660.0,0.0,38.2,391.0,0.0,522.0,62.8
Nicaragua,LATIN AMER. & CARIB    ,2005,Female,44.7,53.5,46.5,44.2,74.9,2.95,7.78,975.0,0.0,39.4,509.0,0.0,420.0,608.0
Niger,SUB-SAHARAN AFRICA                 ,2005,Female,10.8,43.8,56.2,51.7,53.8,2.66,1.52,447.0,0.0,34.9,433.0,0.0,477.0,315.0
Nigeria,SUB-SAHARAN AFRICA                 ,2005,Female,153.0,33.5,66.5,77.7,49.0,0.85,6.7,873.0,0.0,53.5,438.0,0.0,5300.0,1010.0
North Korea,ASIA (EX. NEAR EAST)         ,2005,Female,199.0,0.0,0.0,0.0,71.7,0.0,11.4,570.0,0.0,37.0,500.0,0.0,2960.0,735.0
Norway,WESTERN EUROPE                     ,2005,Female,12.7,82.5,17.4,16.7,82.3,6.26,13.1,1310.0,0.0,35.1,336.0,0.0,575.0,42.9
Oman,NEAR EAST                          ,2005,Female,8.11,81.8,18.3,10.5,76.6,3.26,8.18,917.0,0.0,40.0,414.0,0.0,60.2,12.1
Pakistan,ASIA (EX. NEAR EAST)         ,2005,Female,200.0,21.3,78.8,71.0,64.8,1.71,4.32,1020.0,0.0,24.5,502.0,0.0,6720.0,7930.0
Palau,OCEANIA                            ,2005,Female,43.3,66.3,33.7,15.4,0.0,0.0,0.0,841.0,0.0,40.0,41.6,0.0,0.0,0.0
Panama,LATIN AMER. & CARIB    ,2005,Female,44.8,68.1,31.9,32.2,78.8,3.13,10.8,849.0,0.0,40.1,406.0,0.0,207.0,401.0
Papua New Guinea,OCEANIA                            ,2005,Female,13.9,81.7,18.3,8.2,65.9,6.9,6.02,547.0,0.0,28.4,424.0,0.0,849.0,470.0
Paraguay,LATIN AMER. & CARIB    ,2005,Female,14.6,39.9,60.1,50.6,73.4,3.77,8.85,837.0,0.0,40.8,374.0,0.0,300.0,840.0
Peru,LATIN AMER. & CARIB    ,2005,Female,21.6,58.7,41.3,34.5,75.2,2.88,10.1,1210.0,0.0,53.0,372.0,0.0,936.0,973.0
Philippines,ASIA (EX. NEAR EAST)         ,2005,Female,289.0,47.6,52.4,52.1,71.1,1.8,10.1,964.0,0.0,28.5,432.0,0.0,4040.0,13800.0
Poland,EASTERN EUROPE                     ,2005,Female,125.0,70.0,30.0,27.7,79.3,5.28,12.3,1280.0,0.0,29.5,369.0,0.0,7510.0,981.0
Portugal,WESTERN EUROPE                     ,2005,Female,115.0,66.0,34.0,23.3,81.8,5.04,9.6,1690.0,0.0,58.1,373.0,0.0,1350.0,182.0
Qatar,NEAR EAST                          ,2005,Female,74.5,68.8,31.2,18.6,78.4,1.98,9.78,1160.0,0.0,40.0,433.0,0.0,53.9,9.57
Romania,EASTERN EUROPE                     ,2005,Female,93.1,67.7,32.3,18.5,76.0,3.38,11.4,817.0,0.0,40.5,372.0,0.0,2750.0,649.0
Russia,C.W. OF IND. STATES ,2005,Female,8.77,59.9,40.1,31.9,72.6,3.55,12.1,1450.0,0.0,52.8,419.0,0.0,71300.0,41500.0
Rwanda,SUB-SAHARAN AFRICA                 ,2005,Female,364.0,39.2,60.8,22.5,56.6,3.87,4.64,439.0,0.0,42.5,420.0,0.0,625.0,398.0
Samoa,OCEANIA                            ,2005,Female,63.6,76.8,23.3,13.0,74.4,3.98,13.0,1400.0,0.0,42.1,425.0,0.0,21.4,7.73
San Marino,WESTERN EUROPE                     ,2005,Female,487.0,86.0,14.0,21.6,0.0,3.55,0.0,1440.0,0.0,40.0,15.3,0.0,0.0,0.0
Sao Tome and Principe,SUB-SAHARAN AFRICA                 ,2005,Female,162.0,38.1,61.9,29.7,66.5,5.27,5.74,873.0,0.0,32.1,421.0,0.0,2.74,7.81
Saudi Arabia,NEAR EAST                          ,2005,Female,11.1,71.7,28.4,16.5,74.7,7.19,9.29,854.0,0.0,40.0,416.0,0.0,680.0,95.9
Senegal,SUB-SAHARAN AFRICA                 ,2005,Female,58.4,36.8,63.2,39.8,62.0,4.36,3.19,498.0,0.0,53.8,512.0,0.0,727.0,150.0
Serbia,EASTERN EUROPE                     ,2005,Female,105.0,70.0,30.0,29.8,75.7,4.39,9.93,1360.0,0.0,33.7,374.0,0.0,1940.0,316.0
Seychelles,SUB-SAHARAN AFRICA                 ,2005,Female,193.0,82.7,17.3,7.05,77.0,4.56,9.69,837.0,0.0,41.3,391.0,0.0,8.62,7.77
Sierra Leone,SUB-SAHARAN AFRICA                 ,2005,Female,78.4,13.3,86.8,66.8,44.7,2.89,3.38,735.0,0.0,41.2,514.0,0.0,240.0,76.7
Singapore,ASIA (EX. NEAR EAST)         ,2005,Female,6420.0,51.4,48.6,50.0,82.8,2.59,12.5,1020.0,0.0,47.0,456.0,0.0,410.0,24.6
Slovenia,EASTERN EUROPE                     ,2005,Female,99.1,74.0,26.0,13.0,81.2,5.21,11.2,1410.0,0.0,21.9,361.0,0.0,562.0,33.9
Solomon Islands,OCEANIA                            ,2005,Female,16.8,94.6,5.43,3.43,67.5,5.43,7.43,364.0,0.0,46.1,505.0,0.0,74.0,27.4
Somalia,SUB-SAHARAN AFRICA                 ,2005,Female,16.6,44.8,55.2,0.0,54.0,0.991,1.85,703.0,0.0,50.9,452.0,0.0,390.0,601.0
South Africa,SUB-SAHARAN AFRICA                 ,2005,Female,40.2,40.5,59.5,12.4,55.1,4.98,9.99,1480.0,0.0,35.2,398.0,0.0,8930.0,24000.0
South Korea,ASIA (EX. NEAR EAST)         ,2005,Female,501.0,48.6,51.4,38.8,81.6,3.42,13.1,567.0,0.0,32.0,503.0,0.0,13300.0,1040.0
South Sudan,SUB-SAHARAN AFRICA                 ,2005,Female,13.3,0.0,0.0,0.0,52.3,1.15,1.31,508.0,0.0,45.0,490.0,0.0,261.0,422.0
Spain,WESTERN EUROPE                     ,2005,Female,88.3,71.6,28.4,22.0,83.8,3.82,11.9,1520.0,0.0,32.3,451.0,0.0,3810.0,440.0
Sri Lanka,ASIA (EX. NEAR EAST)         ,2005,Female,311.0,48.8,51.2,40.5,77.7,2.05,10.6,899.0,0.0,37.2,410.0,0.0,6010.0,1310.0
Suriname,LATIN AMER. & CARIB    ,2005,Female,3.2,48.8,51.2,18.1,72.4,3.44,8.42,1640.0,0.0,45.6,406.0,0.0,110.0,44.3
Swaziland,SUB-SAHARAN AFRICA                 ,2005,Female,64.3,56.3,43.7,0.0,47.7,0.0,8.35,491.0,0.0,60.5,414.0,0.0,169.0,212.0
Sweden,WESTERN EUROPE                     ,2005,Female,22.0,84.9,15.1,17.1,82.7,6.47,13.6,1410.0,0.0,39.5,275.0,0.0,1390.0,112.0
Switzerland,WESTERN EUROPE                     ,2005,Female,188.0,55.4,44.6,30.3,83.6,4.41,10.3,2710.0,0.0,38.6,345.0,0.0,1470.0,76.7
Syria,NEAR EAST                          ,2005,Female,99.6,40.5,59.5,49.5,76.8,2.6,7.45,1080.0,0.0,46.5,429.0,0.0,332.0,406.0
Tajikistan,C.W. OF IND. STATES ,2005,Female,49.0,20.4,79.6,66.1,70.8,3.2,9.77,559.0,0.0,36.4,369.0,0.0,307.0,209.0
Tanzania,SUB-SAHARAN AFRICA                 ,2005,Female,44.5,43.4,56.6,34.1,57.6,3.37,6.2,563.0,0.0,27.9,415.0,0.0,2110.0,3150.0
Thailand,ASIA (EX. NEAR EAST)         ,2005,Female,128.0,56.1,43.9,27.6,75.7,4.13,9.86,933.0,0.0,46.2,438.0,0.0,8500.0,6020.0
Togo,SUB-SAHARAN AFRICA                 ,2005,Female,104.0,31.1,68.9,66.7,55.3,3.39,4.69,684.0,0.0,43.6,427.0,0.0,449.0,180.0
Tonga,OCEANIA                            ,2005,Female,140.0,70.8,29.3,13.2,74.1,2.93,10.3,664.0,0.0,37.7,396.0,0.0,6.84,2.85
Trinidad and Tobago,LATIN AMER. & CARIB    ,2005,Female,253.0,43.0,57.0,46.2,72.7,2.87,12.6,1230.0,0.0,45.5,406.0,0.0,173.0,279.0
Tunisia,NORTHERN AFRICA                    ,2005,Female,65.0,54.9,45.1,42.1,76.7,5.94,8.57,717.0,0.0,74.2,460.0,0.0,385.0,107.0
Turkey,NEAR EAST                          ,2005,Female,88.2,62.9,37.1,24.2,76.0,2.75,8.05,1220.0,0.0,54.5,380.0,0.0,2450.0,1850.0
Turkmenistan,C.W. OF IND. STATES ,2005,Female,10.1,79.6,20.4,73.8,68.9,2.32,12.1,959.0,0.0,35.0,494.0,0.0,577.0,262.0
Tuvalu,OCEANIA                            ,2005,Female,334.0,99.9,0.12,1.26,0.0,0.0,0.0,720.0,0.0,39.1,83.4,0.0,0.0,0.0
Uganda,SUB-SAHARAN AFRICA                 ,2005,Female,143.0,26.9,73.2,36.9,54.4,3.6,5.83,465.0,0.0,43.6,511.0,0.0,2920.0,1760.0
Ukraine,C.W. OF IND. STATES ,2005,Female,80.9,51.8,48.2,38.0,73.4,5.54,11.9,776.0,0.0,40.1,361.0,0.0,16000.0,6270.0
United Arab Emirates,NEAR EAST                          ,2005,Female,54.8,65.1,34.9,30.1,76.8,0.0,11.2,1050.0,0.0,40.0,434.0,0.0,256.0,63.0
United Kingdom,WESTERN EUROPE                     ,2005,Female,249.0,79.2,20.8,9.9,81.2,4.73,13.1,3290.0,0.0,58.9,310.0,0.0,5490.0,484.0
United States,NORTHERN AMERICA                   ,2005,Female,32.3,43.2,56.8,13.9,80.2,4.45,12.6,2360.0,0.0,52.0,329.0,0.0,39000.0,18600.0
Uruguay,LATIN AMER. & CARIB    ,2005,Female,19.0,72.3,27.7,25.9,79.3,2.66,10.2,1760.0,0.0,54.7,406.0,0.0,594.0,148.0
Uzbekistan,C.W. OF IND. STATES ,2005,Female,62.3,44.1,55.9,49.6,71.6,9.37,10.9,503.0,0.0,33.9,381.0,0.0,2850.0,941.0
Vanuatu,OCEANIA                            ,2005,Female,17.2,76.6,23.4,9.8,71.2,5.54,7.92,587.0,0.0,37.6,392.0,0.0,32.6,2.86
Venezuela,LATIN AMER. & CARIB    ,2005,Female,30.4,41.5,58.5,45.7,77.5,3.52,10.3,683.0,0.0,62.8,415.0,0.0,2340.0,9420.0
Vietnam,ASIA (EX. NEAR EAST)         ,2005,Female,272.0,30.9,69.0,37.3,79.2,3.67,8.56,862.0,0.0,34.2,417.0,0.0,7410.0,1690.0
Yemen,NEAR EAST                          ,2005,Female,39.0,53.8,46.2,64.8,63.3,3.6,2.66,912.0,0.0,50.1,540.0,0.0,931.0,634.0
Zambia,SUB-SAHARAN AFRICA                 ,2005,Female,16.2,51.3,48.7,31.5,51.2,1.86,6.51,686.0,0.0,54.5,410.0,0.0,1050.0,1180.0
Zimbabwe,SUB-SAHARAN AFRICA                 ,2005,Female,33.4,52.8,47.2,36.5,46.4,3.97,9.13,884.0,0.0,27.5,396.0,0.0,1910.0,1350.0
Afghanistan,ASIA (EX. NEAR EAST)         ,2010,Male,44.1,11.6,88.5,79.0,60.1,2.82,4.73,604.0,80.4,30.5,471.0,484.0,1760.0,4940.0
Albania,EASTERN EUROPE                     ,2010,Male,107.0,40.2,59.8,48.0,74.4,3.11,10.4,669.0,53.8,38.9,375.0,142.0,195.0,68.4
Algeria,NORTHERN AFRICA                    ,2010,Male,15.2,72.1,27.9,28.9,73.5,4.47,8.71,734.0,64.4,56.4,460.0,271.0,1290.0,447.0
Andorra,WESTERN EUROPE                     ,2010,Male,180.0,69.1,30.9,45.4,0.0,3.01,14.4,1240.0,0.0,40.0,12.9,0.0,7.76,0.54
Angola,SUB-SAHARAN AFRICA                 ,2010,Male,18.7,74.5,25.5,19.3,55.5,3.57,5.55,671.0,73.0,56.9,486.0,482.0,1100.0,978.0
Antigua and Barbuda,LATIN AMER. & CARIB    ,2010,Male,215.0,63.1,36.9,24.3,72.9,2.25,12.9,759.0,0.0,40.0,403.0,222.0,2.07,4.93
Argentina,LATIN AMER. & CARIB    ,2010,Male,15.1,54.2,45.8,19.7,71.7,4.52,11.1,1510.0,69.1,47.3,402.0,224.0,4650.0,2390.0
Armenia,C.W. OF IND. STATES ,2010,Male,101.0,30.4,69.6,62.1,70.0,2.85,10.9,515.0,59.4,31.5,362.0,179.0,232.0,128.0
Australia,OCEANIA                            ,2010,Male,2.88,66.9,33.1,19.7,79.7,5.08,14.1,851.0,68.8,38.7,391.0,165.0,2630.0,308.0
Austria,WESTERN EUROPE                     ,2010,Male,102.0,76.1,23.9,18.6,77.9,5.4,11.3,1990.0,63.5,33.0,299.0,197.0,1470.0,73.6
Azerbaijan,C.W. OF IND. STATES ,2010,Male,109.0,11.3,88.7,75.1,67.9,2.9,11.6,778.0,63.9,70.5,369.0,221.0,400.0,351.0
Bahamas,LATIN AMER. & CARIB    ,2010,Male,36.0,44.3,55.7,28.4,71.6,3.84,12.1,1450.0,70.1,40.0,396.0,269.0,11.3,81.5
Bahrain,NEAR EAST                          ,2010,Male,1630.0,69.0,31.0,28.5,75.3,2.73,9.66,1340.0,87.0,40.0,440.0,165.0,89.3,23.3
Bangladesh,ASIA (EX. NEAR EAST)         ,2010,Male,1170.0,34.9,65.1,67.2,69.0,1.78,6.49,875.0,81.0,28.0,508.0,217.0,12200.0,4390.0
Barbados,LATIN AMER. & CARIB    ,2010,Male,650.0,64.4,35.6,38.1,72.5,5.78,10.5,916.0,65.0,40.0,504.0,214.0,15.1,28.8
Belarus,C.W. OF IND. STATES ,2010,Male,46.7,72.9,27.1,29.2,65.1,4.95,11.9,614.0,68.7,55.5,366.0,278.0,3450.0,909.0
Belgium,WESTERN EUROPE                     ,2010,Male,361.0,75.9,24.1,17.6,77.4,6.1,12.6,2420.0,55.9,41.5,320.0,175.0,2310.0,163.0
Belize,LATIN AMER. & CARIB    ,2010,Male,14.1,59.7,40.3,24.0,67.1,6.47,9.15,580.0,76.0,60.3,405.0,172.0,20.8,67.2
Benin,SUB-SAHARAN AFRICA                 ,2010,Male,81.6,49.7,50.3,45.1,57.9,4.79,5.92,598.0,72.3,40.7,430.0,408.0,698.0,271.0
Bhutan,ASIA (EX. NEAR EAST)         ,2010,Male,19.1,76.0,24.0,16.5,67.6,3.05,6.86,631.0,72.3,40.9,456.0,454.0,44.8,10.5
Bolivia,LATIN AMER. & CARIB    ,2010,Male,9.16,66.2,33.8,31.9,64.1,7.21,10.2,856.0,80.3,39.2,405.0,365.0,641.0,636.0
Bosnia and Herzegovina,EASTERN EUROPE                     ,2010,Male,73.0,55.0,45.0,30.1,73.3,0.0,10.3,670.0,44.6,30.0,379.0,202.0,300.0,123.0
Botswana,SUB-SAHARAN AFRICA                 ,2010,Male,3.56,74.3,25.7,5.15,57.2,9.48,7.7,398.0,57.4,47.0,397.0,289.0,320.0,297.0
Brazil,LATIN AMER. & CARIB    ,2010,Male,23.5,40.1,59.9,43.8,70.1,5.39,7.55,1110.0,73.6,37.7,417.0,289.0,12700.0,57500.0
Brunei,ASIA (EX. NEAR EAST)         ,2010,Male,73.7,84.2,15.8,8.26,75.1,2.03,14.7,1520.0,72.3,40.0,455.0,181.0,16.9,4.89
Bulgaria,EASTERN EUROPE                     ,2010,Male,68.2,60.9,39.1,43.1,70.3,3.98,10.8,1090.0,53.1,38.9,360.0,190.0,1120.0,222.0
Burkina Faso,SUB-SAHARAN AFRICA                 ,2010,Male,57.0,59.5,40.5,30.2,56.4,3.23,3.34,481.0,78.9,38.1,455.0,379.0,906.0,144.0
Burundi,SUB-SAHARAN AFRICA                 ,2010,Male,341.0,34.8,65.2,28.2,53.1,6.36,4.99,425.0,76.6,35.1,424.0,405.0,713.0,93.1
Cambodia,ASIA (EX. NEAR EAST)         ,2010,Male,81.1,20.5,79.5,51.9,64.3,1.61,6.85,906.0,88.9,42.0,380.0,644.0,825.0,595.0
Cameroon,SUB-SAHARAN AFRICA                 ,2010,Male,42.2,23.6,76.4,71.7,54.3,2.96,8.04,628.0,78.6,41.7,460.0,367.0,1820.0,741.0
Canada,NORTHERN AMERICA                   ,2010,Male,3.76,70.2,29.8,15.4,79.1,5.0,13.8,1480.0,65.2,44.3,333.0,164.0,4340.0,555.0
Cape Verde,SUB-SAHARAN AFRICA                 ,2010,Male,125.0,77.3,22.7,28.1,70.0,4.91,7.48,531.0,65.5,52.5,395.0,274.0,77.6,75.8
Central African Republic,SUB-SAHARAN AFRICA                 ,2010,Male,7.14,35.3,64.7,46.4,46.1,1.15,6.17,425.0,74.5,57.6,444.0,397.0,406.0,297.0
Chad,SUB-SAHARAN AFRICA                 ,2010,Male,9.44,41.1,58.9,67.6,49.3,1.48,4.56,419.0,75.3,28.2,432.0,425.0,581.0,346.0
Chile,LATIN AMER. & CARIB    ,2010,Male,22.9,40.0,60.0,34.5,75.7,4.23,12.0,1030.0,69.4,48.9,417.0,243.0,2120.0,789.0
China,ASIA (EX. NEAR EAST)         ,2010,Male,145.0,38.8,61.2,40.8,73.8,1.79,10.5,985.0,74.3,36.8,417.0,171.0,151000.0,23400.0
Colombia,LATIN AMER. & CARIB    ,2010,Male,41.4,70.0,29.9,20.9,69.7,3.9,9.4,965.0,75.4,59.1,417.0,250.0,2890.0,18000.0
Comoros,SUB-SAHARAN AFRICA                 ,2010,Male,371.0,61.0,39.0,78.7,60.3,4.1,6.71,710.0,47.7,34.1,416.0,394.0,31.7,47.8
"Congo, Dem. Rep.",SUB-SAHARAN AFRICA                 ,2010,Male,28.5,30.0,70.0,37.0,55.5,1.52,7.13,524.0,71.4,40.4,423.0,411.0,3600.0,2530.0
"Congo, Rep.",SUB-SAHARAN AFRICA                 ,2010,Male,12.8,59.5,40.5,42.2,59.1,2.52,8.31,606.0,61.8,56.3,409.0,317.0,251.0,182.0
Costa Rica,LATIN AMER. & CARIB    ,2010,Male,89.0,70.3,29.7,25.4,76.3,6.42,9.26,777.0,71.2,42.1,441.0,159.0,325.0,367.0
Cote d'Ivoire,SUB-SAHARAN AFRICA                 ,2010,Male,64.2,19.8,80.2,58.1,49.4,4.4,6.0,876.0,70.5,40.3,428.0,374.0,1680.0,420.0
Croatia,EASTERN EUROPE                     ,2010,Male,77.3,86.0,14.0,14.0,73.1,4.08,9.8,1340.0,53.2,16.3,367.0,245.0,868.0,73.9
Cuba,LATIN AMER. & CARIB    ,2010,Male,106.0,93.5,6.54,9.18,76.9,13.0,11.9,1080.0,67.1,40.0,380.0,149.0,1670.0,620.0
Cyprus,NEAR EAST                          ,2010,Male,120.0,41.8,58.2,41.0,77.2,6.22,12.8,856.0,66.3,30.1,339.0,123.0,46.7,17.6
Czech Republic,EASTERN EUROPE                     ,2010,Male,136.0,87.3,12.7,15.3,74.5,3.93,12.0,1920.0,63.6,23.1,380.0,229.0,1710.0,161.0
Denmark,WESTERN EUROPE                     ,2010,Male,131.0,84.5,15.5,14.4,77.3,7.94,12.3,2080.0,63.3,37.1,357.0,167.0,755.0,55.5
Djibouti,SUB-SAHARAN AFRICA                 ,2010,Male,36.7,68.4,31.6,29.0,58.9,7.43,8.5,799.0,67.1,36.5,445.0,340.0,34.5,66.9
Dominica,LATIN AMER. & CARIB    ,2010,Male,95.3,62.1,37.9,36.4,0.0,5.0,11.7,665.0,0.0,40.0,139.0,154.0,2.91,6.54
Dominican Republic,LATIN AMER. & CARIB    ,2010,Male,205.0,31.6,68.4,43.9,69.7,1.91,9.03,669.0,75.7,39.9,445.0,241.0,507.0,1360.0
Ecuador,LATIN AMER. & CARIB    ,2010,Male,60.1,22.3,77.7,47.5,72.3,3.88,9.56,530.0,77.6,41.9,406.0,227.0,1240.0,2470.0
Egypt,NORTHERN AFRICA                    ,2010,Male,84.5,40.6,59.4,62.6,68.2,4.41,9.97,793.0,70.0,34.1,405.0,248.0,2840.0,611.0
El Salvador,LATIN AMER. & CARIB    ,2010,Male,298.0,52.6,47.4,33.6,67.2,3.16,8.64,977.0,74.8,41.2,462.0,403.0,582.0,3680.0
Equatorial Guinea,SUB-SAHARAN AFRICA                 ,2010,Male,33.9,58.8,41.2,68.8,54.7,1.0,7.64,365.0,58.2,40.0,447.0,438.0,42.8,28.3
Eritrea,SUB-SAHARAN AFRICA                 ,2010,Male,43.5,46.0,54.0,52.7,60.2,1.72,6.3,534.0,81.2,40.0,441.0,424.0,295.0,382.0
Estonia,BALTICS                            ,2010,Male,31.4,77.0,23.0,21.9,70.2,5.43,9.88,959.0,54.2,47.8,362.0,303.0,277.0,86.8
Ethiopia,SUB-SAHARAN AFRICA                 ,2010,Male,87.7,60.9,39.1,42.3,60.0,2.96,5.99,524.0,87.4,47.7,448.0,440.0,5940.0,8700.0
Fiji,OCEANIA                            ,2010,Male,47.1,81.4,18.6,22.4,66.5,4.64,11.2,787.0,68.6,35.3,499.0,269.0,97.0,42.3
Finland,WESTERN EUROPE                     ,2010,Male,17.7,75.4,24.6,20.0,76.9,6.07,11.8,1290.0,58.1,47.1,355.0,204.0,1090.0,107.0
France,WESTERN EUROPE                     ,2010,Male,115.0,78.8,21.2,10.1,78.1,5.1,11.9,1870.0,56.6,73.1,285.0,196.0,12900.0,659.0
Gabon,SUB-SAHARAN AFRICA                 ,2010,Male,6.37,42.3,57.7,25.5,62.0,3.06,9.0,391.0,49.5,46.3,436.0,326.0,115.0,75.8
Gambia,SUB-SAHARAN AFRICA                 ,2010,Male,167.0,55.0,45.0,21.0,58.4,2.46,6.26,822.0,64.0,39.6,460.0,406.0,55.8,21.5
Georgia,C.W. OF IND. STATES ,2010,Male,60.9,19.2,80.8,72.7,68.5,1.91,12.3,544.0,61.6,26.9,381.0,226.0,300.0,167.0
Germany,WESTERN EUROPE                     ,2010,Male,232.0,76.6,23.4,13.9,77.5,4.68,12.0,1870.0,61.6,50.5,340.0,158.0,12000.0,733.0
Ghana,SUB-SAHARAN AFRICA                 ,2010,Male,108.0,66.3,33.6,33.4,60.0,4.68,7.92,706.0,74.8,46.7,471.0,351.0,1230.0,974.0
Greece,WESTERN EUROPE                     ,2010,Male,88.8,60.1,39.9,28.1,77.6,3.1,12.3,1420.0,58.0,51.6,361.0,159.0,485.0,133.0
Grenada,LATIN AMER. & CARIB    ,2010,Male,308.0,47.8,52.3,52.5,70.2,3.75,10.5,961.0,0.0,40.0,408.0,254.0,7.46,7.62
Guatemala,LATIN AMER. & CARIB    ,2010,Male,137.0,33.8,66.2,59.6,68.3,2.88,7.24,860.0,82.6,37.4,503.0,330.0,1030.0,5840.0
Guinea,SUB-SAHARAN AFRICA                 ,2010,Male,43.9,11.3,88.7,65.0,56.0,3.67,5.13,451.0,62.9,34.4,448.0,436.0,562.0,324.0
Guinea-Bissau,SUB-SAHARAN AFRICA                 ,2010,Male,55.3,15.9,84.1,44.7,53.5,1.38,4.43,779.0,73.5,49.5,417.0,403.0,118.0,111.0
Guyana,LATIN AMER. & CARIB    ,2010,Male,3.79,65.4,34.6,42.6,63.7,3.38,9.87,1220.0,69.0,39.5,429.0,299.0,232.0,149.0
